-----Amazon Textract has detected as follows-----
Key: MIDDLE NAME:, Value: ISAACS
Key: NO, Value: NOT_SELECTED
Key: GIVEN/FIRST NAME:, Value: JAMES
Key: SURNAME/LAST NAME:, Value: DEVL IN
Key: NATIONALITY:, Value: FILIPINO
Key: RELIGION:, Value: NONE
Key: SEAMAN'S BOOK NUMBER., Value: 2345678901
Key: COMPANY:, Value: SHIP INC.
Key: NO, Value: NOT_SELECTED
Key: PLACE OF BIRTH:, Value: MANILA
Key: YES, Value: SELECTED
Key: PASSPORT NUMBER:, Value: 1234567890
Key: NO, Value: NOT_SELECTED
Key: NO, Value: NOT_SELECTED
Key: AGE:, Value: 30
Key: NO, Value: NOT_SELECTED
Key: NO, Value: NOT_SELECTED
Key: YES, Value: SELECTED
Key: NO, Value: NOT_SELECTED
Key: MARRIED, Value: NOT_SELECTED
Key: YES, Value: SELECTED
Key: YES, Value: SELECTED
Key: SINGLE, Value: SELECTED
Key: ENGINE, Value: SELECTED
Key: YES, Value: SELECTED
Key: FEMALE, Value: NOT_SELECTED
Key: NO, Value: SELECTED
Key: YES, Value: NOT_SELECTED
Key: YES, Value: SELECTED
Key: DATE:, Value: 25/9/2023
Key: YES, Value: SELECTED
Key: CATERING, Value: NOT_SELECTED
Key: DATE OF ISSUANCE:DAY/ MONTH/ YEAR, Value: 25 / 9/ 2023
Key: CONTACT LENSES, Value: NOT_SELECTED
Key: SPECTACLES, Value: NOT_SELECTED
Key: ADDRESS, Value: 7 RD. 22, PROJECT 8, QUEZON CITY, PHILIPPINES
Key: DECK, Value: NOT_SELECTED
Key: MALE, Value: SELECTED
Key: PHYSICIAN'S CERTIFYING AUTHORITY., Value: 3456789102
Key: APPROVED BY, Value: JOHN SMITH or
Key: PHYSICIAN'S LICENSE NUMBER:, Value: 4567891023
Key: DAY, Value: 2
Key: RESULT: FIT FOR DUTY., Value: SELECTED
Key: NAME OF ISSUING AUTHORITY., Value: DEPARTMENT of THE SEA
Key: SEAFARER'S NAME AND SIGNATURE:, Value: JAMES DEVLIN 9v
Key: DATE OF EXPIRATION: MONTH/Y, Value: 25/9/2024
Key: ADDRESS., Value: PASIG CITY
Key: THIS IS TO CERTIFY THAT A MEDICALAND PHYSICAL EXAMINATION WAS GIVEN TO, Value: JAMES DEVLIN
Key: MONTH, Value: 10
Key: NAME AND SIGNATURE OF EXAMINING/AUTHORIZED DATE OF EXAMINATION DAY/MONTH/YEAR, Value: 2 / 9 / 2023
Key: SPECIFY, Value: None
Key: '93YEAR, Value: None
Key: OTHERS, Value: NOT_SELECTED
Key: Date of last colour vision test: (Day/ Month/ Year), Value: 2 / 10 / 2022
Key: UNFIT FOR DUTY, Value: NOT_SELECTED
Key: A.O. No., Value: 2013-0006
Key: ANNEX, Value: D
